timestamp,protocol,src_ip,dst_ip,packet_length,second,label
1770353690.800232,6,172.17.18.153,142.250.67.5,55,1770353690,Benign
1770353690.808447,6,142.250.67.5,172.17.18.153,66,1770353690,Benign
1770353692.172306,6,142.251.155.119,172.17.18.153,60,1770353692,Benign
1770353692.172926,6,172.17.18.153,142.251.155.119,54,1770353692,Benign
1770353692.208526,6,104.18.39.21,172.17.18.153,78,1770353692,Benign
1770353692.209198,6,172.17.18.153,104.18.39.21,82,1770353692,Benign
1770353692.222022,6,104.18.39.21,172.17.18.153,60,1770353692,Benign
1770353692.772844,17,172.17.18.153,172.31.0.25,92,1770353692,Benign
1770353692.784954,17,172.31.0.25,172.17.18.153,217,1770353692,Benign
1770353692.786756,6,172.17.18.153,20.50.80.213,66,1770353692,Benign
1770353692.786983,6,172.17.18.153,20.50.80.213,66,1770353692,Benign
1770353692.796862,6,20.50.80.213,172.17.18.153,66,1770353692,Benign
1770353692.796862,6,20.50.80.213,172.17.18.153,66,1770353692,Benign
1770353692.796969,6,172.17.18.153,20.50.80.213,54,1770353692,Benign
1770353692.796978,6,172.17.18.153,20.50.80.213,54,1770353692,Benign
1770353692.798922,6,172.17.18.153,20.50.80.213,571,1770353692,Benign
1770353692.798955,6,172.17.18.153,20.50.80.213,571,1770353692,Benign
1770353692.808981,6,20.50.80.213,172.17.18.153,60,1770353692,Benign
1770353692.808981,6,20.50.80.213,172.17.18.153,60,1770353692,Benign
1770353693.065713,17,172.17.18.153,172.31.0.25,75,1770353693,Benign
1770353693.06588,17,172.17.18.153,172.31.0.25,75,1770353693,Benign
1770353693.075138,17,172.31.0.25,172.17.18.153,171,1770353693,Benign
1770353693.075138,17,172.31.0.25,172.17.18.153,125,1770353693,Benign
1770353693.078845,6,172.17.18.153,142.250.70.110,3013,1770353693,Benign
1770353693.078964,6,172.17.18.153,142.250.70.110,93,1770353693,Benign
1770353693.07902,6,172.17.18.153,142.250.70.110,757,1770353693,Benign
1770353693.087118,6,142.250.70.110,172.17.18.153,60,1770353693,Benign
1770353693.087118,6,142.250.70.110,172.17.18.153,60,1770353693,Benign
1770353693.091157,6,142.250.70.110,172.17.18.153,93,1770353693,Benign
1770353693.135451,6,172.17.18.153,142.250.70.110,54,1770353693,Benign
1770353693.139676,6,20.50.80.213,172.17.18.153,153,1770353693,Benign
1770353693.14049,6,172.17.18.153,20.50.80.213,491,1770353693,Benign
1770353693.151924,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.167915,6,142.250.70.110,172.17.18.153,445,1770353693,Benign
1770353693.167915,6,142.250.70.110,172.17.18.153,590,1770353693,Benign
1770353693.168057,6,172.17.18.153,142.250.70.110,54,1770353693,Benign
1770353693.169986,6,172.17.18.153,142.250.70.110,89,1770353693,Benign
1770353693.17199,6,142.250.70.110,172.17.18.153,93,1770353693,Benign
1770353693.17199,6,142.250.70.110,172.17.18.153,85,1770353693,Benign
1770353693.172109,6,172.17.18.153,142.250.70.110,54,1770353693,Benign
1770353693.172901,6,172.17.18.153,142.250.70.110,93,1770353693,Benign
1770353693.188554,6,142.250.70.110,172.17.18.153,60,1770353693,Benign
1770353693.256297,6,20.50.80.213,172.17.18.153,153,1770353693,Benign
1770353693.258595,6,172.17.18.153,20.50.80.213,491,1770353693,Benign
1770353693.268412,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.294992,6,172.17.18.153,20.50.80.213,172,1770353693,Benign
1770353693.295126,6,172.17.18.153,20.50.80.213,4712,1770353693,Benign
1770353693.305213,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.305213,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.305213,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.305213,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.305213,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.320264,6,20.50.80.213,172.17.18.153,1342,1770353693,Benign
1770353693.320264,6,20.50.80.213,172.17.18.153,1514,1770353693,Benign
1770353693.320438,6,20.50.80.213,172.17.18.153,1514,1770353693,Benign
1770353693.320438,6,20.50.80.213,172.17.18.153,336,1770353693,Benign
1770353693.320486,6,172.17.18.153,20.50.80.213,54,1770353693,Benign
1770353693.324027,6,172.17.18.153,20.50.80.213,3750,1770353693,Benign
1770353693.340835,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.340835,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.340835,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.448961,6,192.178.211.95,172.17.18.153,616,1770353693,Benign
1770353693.448961,6,192.178.211.95,172.17.18.153,1514,1770353693,Benign
1770353693.449154,6,172.17.18.153,192.178.211.95,54,1770353693,Benign
1770353693.461533,6,172.17.18.153,192.178.211.95,89,1770353693,Benign
1770353693.461597,6,172.17.18.153,192.178.211.95,89,1770353693,Benign
1770353693.473696,6,192.178.211.95,172.17.18.153,60,1770353693,Benign
1770353693.473696,6,192.178.211.95,172.17.18.153,60,1770353693,Benign
1770353693.48659,6,20.50.80.213,172.17.18.153,152,1770353693,Benign
1770353693.488146,6,172.17.18.153,20.50.80.213,89,1770353693,Benign
1770353693.495183,6,20.50.80.213,172.17.18.153,1514,1770353693,Benign
1770353693.495183,6,20.50.80.213,172.17.18.153,1514,1770353693,Benign
1770353693.495378,6,20.50.80.213,172.17.18.153,164,1770353693,Benign
1770353693.495378,6,20.50.80.213,172.17.18.153,1514,1770353693,Benign
1770353693.495443,6,172.17.18.153,20.50.80.213,54,1770353693,Benign
1770353693.497367,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.499182,6,172.17.18.153,20.50.80.213,2041,1770353693,Benign
1770353693.499243,6,20.50.80.213,172.17.18.153,157,1770353693,Benign
1770353693.501198,6,20.50.80.213,172.17.18.153,518,1770353693,Benign
1770353693.501198,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.501326,6,172.17.18.153,20.50.80.213,54,1770353693,Benign
1770353693.502275,6,172.17.18.153,20.50.80.213,78,1770353693,Benign
1770353693.502419,6,172.17.18.153,20.50.80.213,54,1770353693,Benign
1770353693.507033,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.507033,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.511181,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.511181,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.637201,1,172.17.18.152,172.17.18.153,74,1770353693,Benign
1770353693.637277,1,172.17.18.153,172.17.18.152,74,1770353693,Benign
1770353693.743611,6,20.50.80.213,172.17.18.153,157,1770353693,Benign
1770353693.747754,6,20.50.80.213,172.17.18.153,518,1770353693,Benign
1770353693.747754,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.747874,6,172.17.18.153,20.50.80.213,54,1770353693,Benign
1770353693.748571,6,172.17.18.153,20.50.80.213,78,1770353693,Benign
1770353693.748699,6,172.17.18.153,20.50.80.213,54,1770353693,Benign
1770353693.760427,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353693.760427,6,20.50.80.213,172.17.18.153,60,1770353693,Benign
1770353694.064594,6,172.17.18.153,104.18.32.47,5871,1770353694,Benign
1770353694.064844,6,172.17.18.153,104.18.32.47,251,1770353694,Benign
1770353694.074659,6,104.18.32.47,172.17.18.153,60,1770353694,Benign
1770353694.074659,6,104.18.32.47,172.17.18.153,60,1770353694,Benign
1770353694.074659,6,104.18.32.47,172.17.18.153,60,1770353694,Benign
1770353694.074659,6,104.18.32.47,172.17.18.153,60,1770353694,Benign
1770353694.074659,6,104.18.32.47,172.17.18.153,60,1770353694,Benign
1770353694.074659,6,104.18.32.47,172.17.18.153,60,1770353694,Benign
1770353694.147488,6,172.17.18.153,142.251.220.35,55,1770353694,Benign
1770353694.156485,6,142.251.220.35,172.17.18.153,66,1770353694,Benign
1770353694.33423,6,104.18.32.47,172.17.18.153,105,1770353694,Benign
1770353694.33423,6,104.18.32.47,172.17.18.153,85,1770353694,Benign
1770353694.33423,6,104.18.32.47,172.17.18.153,948,1770353694,Benign
1770353694.334381,6,172.17.18.153,104.18.32.47,54,1770353694,Benign
1770353694.337702,6,172.17.18.153,104.18.32.47,89,1770353694,Benign
1770353694.345801,6,104.18.32.47,172.17.18.153,60,1770353694,Benign
1770353694.644795,1,172.17.18.152,172.17.18.153,74,1770353694,Benign
1770353694.644995,1,172.17.18.153,172.17.18.152,74,1770353694,Benign
1770353694.708535,6,192.178.211.95,172.17.18.153,218,1770353694,Benign
1770353694.71101,6,172.17.18.153,192.178.211.95,89,1770353694,Benign
1770353694.72086,6,192.178.211.95,172.17.18.153,60,1770353694,Benign
1770353695.659775,1,172.17.18.152,172.17.18.153,74,1770353695,Benign
1770353695.659961,1,172.17.18.153,172.17.18.152,74,1770353695,Benign
1770353695.675349,6,40.74.79.222,172.17.18.153,60,1770353695,Benign
1770353695.675535,6,172.17.18.153,40.74.79.222,54,1770353695,Benign
1770353696.131204,6,172.17.18.153,20.50.80.213,172,1770353696,Benign
1770353696.131339,6,172.17.18.153,20.50.80.213,2902,1770353696,Benign
1770353696.145987,6,20.50.80.213,172.17.18.153,60,1770353696,Benign
1770353696.145987,6,20.50.80.213,172.17.18.153,60,1770353696,Benign
1770353696.145987,6,20.50.80.213,172.17.18.153,60,1770353696,Benign
1770353696.146119,6,20.50.80.213,172.17.18.153,60,1770353696,Benign
1770353696.292853,6,40.74.79.222,172.17.18.153,60,1770353696,Benign
1770353696.293017,6,172.17.18.153,40.74.79.222,54,1770353696,Benign
